Load;Heat;Wind
343.5592077;617.3379984;20.72
334.5032521;626.6955866;10.2025
327.1973437;626.6794246;8.9
322.229568;649.8795883;9.92
320.4003899;663.949647;7.855
320.9515134;680.4104305;8.34
323.6072411;676.5535568;6.395
329.3974337;674.2006247;4.925
339.2873265;706.1727977;3.35
348.425898;728.2441429;4.3725
351.134162;779.3808642;4.9825
353.6796589;772.6648662;3.4825
355.4297788;792.3701878;2.6775
355.6794153;812.540206;1.4925
352.9695438;796.4393535;1.965
352.3240181;784.246641;4.4525
355.1621921;811.5038683;3.4175
367.7761265;841.1503431;4.0725
382.0801851;831.2516831;4.0325
378.0795305;829.3330923;6.18
372.9156207;834.6028547;10.7675
368.0574248;816.9561139;11.2925
360.7939838;804.474466;9.3925
351.3832178;815.1213966;9.5
339.8677853;794.2678774;9.8175
331.5711509;750.7813076;8.05
324.4197102;727.2966189;7.5375
318.8243502;719.3959071;7.7625
316.5646322;707.9466533;7.645
316.759871;695.2710191;7.2875
317.6452511;690.950262;10.0425
321.5284503;682.5322261;6.13
327.8713266;696.5128552;2.3875
336.9380849;698.8880417;4.52
341.8601613;682.0029249;2.9275
345.4072765;695.2596207;5.7025
347.7787971;715.5628362;5.795
349.4345068;720.7113157;4.465
349.0512245;720.4746269;5.545
347.9702151;734.6639334;5.4525
349.9725911;743.149914;4.03
361.0369374;759.3988747;2.1125
378.4593089;755.4219296;1.6775
374.6843862;754.3844264;3.52
370.0689926;755.9280198;4.8625
364.8739962;761.3103518;10.1375
356.405068;777.2718242;14.4575
342.537052;770.0473993;19.335
328.6576253;774.5176247;25.13
319.4331445;754.9782311;34.0275
315.2652337;738.1276518;42.5425
313.1478505;721.2400536;56.825
313.8360593;696.4306318;72.7675
316.9639106;720.4453341;72.6025
325.5622567;781.34654;60.37
344.0639825;839.7902916;44.62
366.3233182;928.1811572;22.075
374.2161152;936.3580162;13.81
372.5635505;941.825525;11.8725
373.4869004;928.0482283;4.3125
374.4010425;902.8442277;1.6125
372.1264987;914.541386;2.715
371.2428292;932.7784815;2.215
369.363435;925.1930225;3.5475
369.6159068;918.6070539;4.23
379.9487051;885.8011752;1.585
395.0180353;901.0116247;2.3075
388.7225992;915.898932;5.15
383.5648586;897.7074451;7.395
378.0321638;820.0131302;5.905
367.1927265;787.7435501;4.915
